"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Cucumber Data Tables implementation practices","Google search testing data table","0","0","1","0","0"
"","Web table app login functionality","Positive login scenario","0","0","3","0","0"
"","Some of the general functionality verifications","Order placement scenario","0","0","6","0","0"
"","Google search functionality with Scenario Outline","Google search testing with Scenario Outline","0","0","4","0","0"
"","Users should be able to login","Login with","0","0","6","0","0"
"","Cucumber Data Tables implementation practices","List of the animals we love","0","0","1","0","0"
"","Wiki search features","Wikipedia Search Functionality with Scenario Outline","0","0","6","0","0"
"","Cucumber Data Tables implementation practices","List of fruits and vegetables I like","0","0","1","0","0"
"","Library login feature","Login as librarian","0","0","1","0","0"
"","Some of the general functionality verifications","Payment options verification","0","0","1","0","0"
"","Bing search functionality","Search result title verification","0","0","2","0","0"
"","Cucumber Data Tables implementation practices","Officer reads data about driver","0","0","1","0","0"
"","Google search functionality","Search page default title verification","0","0","1","0","0"
"","Cucumber Data Tables implementation practices","User should be able to see all 12 months in months dropdown","0","0","1","0","0"
"","Library login feature","Login as student","0","0","1","0","0"
"","Some of the general functionality verifications","Dropdown options verification","0","0","1","0","0"
"","Wiki search features","Wikipedia Search Functionality Title Verification","0","0","1","0","0"
"","Wiki search features","Wikipedia Search Functionality Image Header Verification","0","0","1","0","0"
"","Library login feature","Login as admin","0","0","1","0","0"
"","Wiki search features","Wikipedia Search Functionality Header Verification","0","0","1","0","0"
"","Google search functionality","Search result title verification","0","0","1","0","0"
